chr	promoter_start	promoter_end	strand	ensembl_gene_id
1	6639061	6640261	+	ENSG00000204859
1	6672745	6673945	+	ENSG00000116273
1	6674467	6675667	-	ENSG00000162413
1	6683926	6685126	+	ENSG00000041988
1	6761784	6762984	-	ENSG00000007923
1	6811779	6812979	+	ENSG00000239166
1	6844703	6845903	-	ENSG00000237436
1	6844384	6845584	+	ENSG00000171735
1	7074139	7075339	-	ENSG00000237365
1	7278420	7279620	+	ENSG00000207056
1	7449614	7450814	-	ENSG00000237728
1	7501414	7502614	-	ENSG00000225126
1	7830329	7831529	+	ENSG00000049245
1	7843380	7844580	+	ENSG00000049246
1	7887202	7888402	-	ENSG00000236266
1	7913372	7914572	-	ENSG00000049247
1	8000726	8001926	-	ENSG00000049249
1	8001432	8002632	+	ENSG00000270330
1	8013351	8014551	+	ENSG00000116288
1	8086168	8087368	-	ENSG00000116285
1	8085798	8086998	+	ENSG00000238290
1	8266457	8267657	-	ENSG00000200975
1	8267732	8268932	+	ENSG00000227634
1	8352123	8353323	-	ENSG00000251977
1	8376886	8378086	+	ENSG00000162426
1	8877502	8878702	-	ENSG00000142599
1	8483705	8484905	+	ENSG00000232912
1	8571778	8572978	-	ENSG00000221083
1	8571712	8572912	+	ENSG00000270282
1	8939108	8940308	-	ENSG00000074800
1	8937894	8939094	+	ENSG00000230679
1	8937866	8939066	-	ENSG00000236269
1	8943392	8944592	-	ENSG00000201725
1	9004926	9006126	+	ENSG00000131686
1	9086204	9087404	-	ENSG00000197241
1	9141755	9142955	+	ENSG00000252404
1	9148337	9149537	-	ENSG00000142583
1	9189029	9190229	-	ENSG00000180758
1	9211636	9212836	-	ENSG00000207865
1	9293834	9295034	+	ENSG00000049239
1	9337450	9338650	+	ENSG00000252841
1	9351939	9353139	+	ENSG00000171621
1	9598541	9599741	+	ENSG00000171612
1	9647932	9649132	+	ENSG00000188807
1	9884384	9885584	-	ENSG00000171603
1	9907376	9908576	+	ENSG00000223989
1	9970194	9971394	-	ENSG00000178585
1	10003265	10004465	-	ENSG00000162441
1	10002486	10003686	+	ENSG00000173614
1	10006376	10007576	+	ENSG00000202415
1	10001981	10003181	+	ENSG00000228150
1	10091890	10093090	+	ENSG00000130939
1	10222326	10223526	+	ENSG00000201746
1	10269863	10271063	+	ENSG00000054523
1	10358024	10359224	+	ENSG00000199562
1	10457649	10458849	+	ENSG00000142657
1	10449059	10450259	+	ENSG00000265945
1	10489159	10490359	+	ENSG00000175279
1	10490534	10491734	-	ENSG00000271989
1	10508776	10509976	+	ENSG00000241563
1	10517612	10518812	+	ENSG00000203469
1	10531345	10532545	+	ENSG00000142655
1	10532383	10533583	-	ENSG00000160049
1	10856507	10857707	-	ENSG00000130940
1	11041894	11043094	-	ENSG00000175262
1	11071414	11072614	+	ENSG00000120948
1	11107090	11108290	-	ENSG00000009724
1	11088716	11089916	+	ENSG00000271895
1	11119881	11121081	-	ENSG00000116649
1	11159738	11160938	-	ENSG00000171824
1	11158732	11159932	+	ENSG00000230337
1	11322364	11323564	-	ENSG00000198793
1	11202955	11204155	+	ENSG00000225602
1	11211407	11212607	+	ENSG00000253086
1	11229470	11230670	-	ENSG00000271794
1	11248398	11249598	+	ENSG00000171819
1	11285311	11286511	+	ENSG00000207451
1	11538223	11539423	+	ENSG00000204624
1	11715642	11716842	-	ENSG00000116661
1	11713432	11714632	+	ENSG00000132879
1	11723181	11724381	+	ENSG00000116663
1	11751507	11752707	-	ENSG00000116670
1	11750786	11751986	+	ENSG00000162490
1	11795141	11796341	+	ENSG00000177674
1	11820844	11822044	+	ENSG00000215910
1	11839476	11840676	-	ENSG00000177553
1	11865207	11866407	+	ENSG00000011021
1	11866777	11867977	-	ENSG00000177000
1	11908202	11909402	-	ENSG00000175206
1	11900074	11901274	+	ENSG00000242349
1	11918788	11919988	-	ENSG00000120937
1	11967209	11968409	+	ENSG00000199347
1	11969784	11970984	-	ENSG00000201801
1	11986285	11987485	-	ENSG00000116685
1	11993262	11994462	+	ENSG00000083444
1	12039238	12040438	+	ENSG00000116688
1	12078523	12079723	+	ENSG00000116691
1	12077165	12078365	-	ENSG00000270914
1	12122434	12123634	+	ENSG00000120949
1	12137841	12139041	-	ENSG00000201135
1	12140404	12141604	-	ENSG00000227875
1	12226060	12227260	+	ENSG00000028137
1	12289124	12290324	+	ENSG00000048707
1	12566300	12567500	+	ENSG00000239149
1	12629900	12631100	-	ENSG00000221340
1	12677537	12678737	-	ENSG00000162496
1	12679050	12680250	-	ENSG00000272482
1	12703566	12704766	+	ENSG00000204518
1	12775118	12776318	+	ENSG00000188984
1	12798693	12799893	+	ENSG00000238771
1	12805163	12806363	+	ENSG00000157330
1	12833984	12835184	+	ENSG00000116726
1	13840343	13841543	-	ENSG00000162494
1	13838715	13839915	+	ENSG00000259961
1	13908960	13910160	+	ENSG00000162493
1	14025693	14026893	+	ENSG00000116731
1	14022494	14023694	-	ENSG00000253085
1	14450630	14451830	-	ENSG00000252151
1	14924200	14925400	+	ENSG00000189337
1	15478028	15479228	+	ENSG00000171729
1	15478760	15479960	-	ENSG00000175147
1	15497613	15498813	-	ENSG00000204464
1	15572768	15573968	+	ENSG00000142621
1	15661760	15662960	-	ENSG00000236045
1	15670172	15671372	-	ENSG00000233485
1	15735391	15736591	+	ENSG00000142634
1	15735729	15736929	-	ENSG00000228140
1	15763935	15765135	+	ENSG00000162438
1	15782223	15783423	+	ENSG00000142615
1	15852308	15853508	+	ENSG00000116138
1	15852829	15854029	-	ENSG00000132906
1	15867660	15868860	+	ENSG00000251866
1	15911405	15912605	-	ENSG00000116771
1	15934440	15935640	-	ENSG00000252417
1	15942995	15944195	+	ENSG00000197312
1	15985364	15986564	+	ENSG00000215695
1	16009827	16011027	+	ENSG00000116786
1	16009967	16011167	+	ENSG00000264048
1	16009423	16010623	-	ENSG00000271742
1	16061900	16063100	+	ENSG00000162461
1	16063191	16064391	-	ENSG00000237938
1	16067917	16069117	+	ENSG00000162460
1	16076191	16077391	-	ENSG00000224459
1	16082102	16083302	+	ENSG00000162458
1	16173359	16174559	+	ENSG00000065526
1	16174442	16175642	-	ENSG00000179743
1	16236392	16237592	+	ENSG00000238818
1	16329731	16330931	+	ENSG00000183888
1	16345889	16347089	-	ENSG00000173641
1	16344370	16345570	+	ENSG00000186510
1	16332966	16334166	-	ENSG00000233078
1	16369272	16370472	+	ENSG00000184908
1	16366324	16367524	-	ENSG00000232456
1	16399927	16401127	-	ENSG00000185519
1	16482382	16483582	-	ENSG00000142627
1	16480706	16481906	+	ENSG00000227959
1	16484761	16485961	+	ENSG00000224621
1	16523349	16524549	+	ENSG00000234166
1	16538904	16540104	-	ENSG00000142632
1	16554322	16555522	-	ENSG00000237276
1	16555838	16557038	-	ENSG00000204377
1	16563457	16564657	-	ENSG00000132881
1	16678749	16679949	-	ENSG00000037637
1	16678070	16679270	+	ENSG00000055070
1	16763719	16764919	-	ENSG00000187144
1	16766167	16767367	+	ENSG00000157191
1	17307130	17308330	-	ENSG00000117122
1	17304421	17305621	+	ENSG00000226526
1	17338223	17339423	-	ENSG00000159363
1	17380465	17381665	-	ENSG00000117118
1	17445748	17446948	-	ENSG00000117115
1	17530621	17531821	+	ENSG00000142623
1	17574593	17575793	+	ENSG00000142619
1	17633690	17634890	+	ENSG00000159339
1	17732256	17733456	+	ENSG00000227751
1	17766020	17767220	-	ENSG00000179051
1	17775259	17776459	+	ENSG00000239020
1	17865330	17866530	+	ENSG00000074964
1	18080808	18082008	+	ENSG00000117148
1	18433240	18434440	+	ENSG00000117154
1	18505640	18506840	-	ENSG00000230035
1	18806424	18807624	+	ENSG00000179023
1	18956500	18957700	+	ENSG00000009709
1	19185976	19187176	-	ENSG00000179002
1	19229075	19230275	-	ENSG00000159423
1	19223442	19224642	-	ENSG00000221662
1	19282980	19284180	-	ENSG00000169991
1	19536570	19537770	-	ENSG00000127481
1	19535995	19537195	+	ENSG00000230424
1	19577033	19578233	+	ENSG00000053372
1	19577846	19579046	-	ENSG00000127463
1	19637820	19639020	+	ENSG00000040487
1	19638440	19639640	-	ENSG00000053371
1	19631476	19632676	-	ENSG00000200403
1	19646354	19647554	-	ENSG00000265192
1	19811866	19813066	-	ENSG00000077549
1	19836087	19837287	+	ENSG00000201609
1	19858568	19859768	-	ENSG00000239027
1	19922477	19923677	+	ENSG00000173436
1	19923126	19924326	-	ENSG00000235185
1	19922473	19923673	+	ENSG00000270136
1	19966048	19967248	+	ENSG00000158747
1	19990780	19991980	+	ENSG00000158748
1	20126238	20127438	-	ENSG00000162542
1	20141571	20142771	-	ENSG00000178828
1	20139860	20141060	+	ENSG00000235434
1	20208006	20209206	+	ENSG00000169914
1	20249910	20251110	-	ENSG00000188784
1	20306732	20307932	-	ENSG00000188257
1	20445850	20447050	-	ENSG00000117215
1	20464819	20466019	+	ENSG00000158786
1	20479831	20481031	+	ENSG00000227066
1	20503717	20504917	-	ENSG00000187980
1	20511578	20512778	+	ENSG00000162543
1	20512779	20513979	-	ENSG00000225986
1	20616412	20617612	+	ENSG00000158816
1	20649480	20650680	-	ENSG00000226664
1	20812513	20813713	-	ENSG00000162545
1	20834454	20835654	-	ENSG00000090432
1	20877932	20879132	+	ENSG00000183114
1	20914441	20915641	+	ENSG00000158825
1	20958948	20960148	+	ENSG00000158828
1	21044310	21045510	-	ENSG00000117245
1	20987800	20989000	-	ENSG00000244038
1	21059130	21060330	-	ENSG00000189410
1	21058373	21059573	+	ENSG00000233069
1	21068480	21069680	+	ENSG00000203394
1	21113616	21114816	-	ENSG00000127483
1	21166734	21167934	+	ENSG00000251914
1	21314725	21315925	-	ENSG00000221808
1	21503177	21504377	-	ENSG00000075151
1	21502922	21504122	-	ENSG00000266867
1	21591575	21592775	+	ENSG00000236936
1	21671797	21672997	-	ENSG00000117298
1	21618783	21619983	+	ENSG00000231105
1	21834858	21836058	+	ENSG00000162551
1	21918841	21920041	-	ENSG00000221781
1	21911965	21913165	+	ENSG00000233431
1	21995601	21996801	-	ENSG00000076864
1	22109899	22111099	-	ENSG00000090686
1	22263590	22264790	-	ENSG00000142798
1	22137758	22138958	+	ENSG00000187942
1	22378120	22379320	+	ENSG00000070831
1	22470262	22471462	-	ENSG00000162552
1	22889057	22890257	+	ENSG00000070886
1	22969123	22970323	+	ENSG00000159189
1	22961999	22963199	+	ENSG00000173372
1	22978255	22979455	+	ENSG00000173369
1	23036332	23037532	+	ENSG00000133216
1	23075204	23076404	-	ENSG00000216157
1	23163142	23164342	-	ENSG00000225952
1	23291631	23292831	-	ENSG00000215906
1	23344941	23346141	+	ENSG00000004487
1	23342143	23343343	-	ENSG00000227868
1	23488197	23489397	+	ENSG00000206935
1	23489446	23490646	+	ENSG00000252578
1	23504101	23505301	-	ENSG00000169641
1	23521022	23522222	-	ENSG00000179546
1	23670629	23671829	-	ENSG00000125944
1	23695735	23696935	-	ENSG00000125945
1	23695747	23696947	+	ENSG00000201405
1	23694490	23695690	+	ENSG00000249087
1	23705322	23706522	-	ENSG00000271420
1	23751033	23752233	-	ENSG00000204219
1	23810861	23812061	-	ENSG00000088280
1	23857512	23858712	-	ENSG00000007968
1	23886085	23887285	-	ENSG00000117318
1	23906985	23908185	+	ENSG00000197880
1	24017269	24018469	+	ENSG00000142676
1	24068645	24069845	+	ENSG00000011007
1	24103895	24105095	+	ENSG00000057757
1	24104577	24105777	-	ENSG00000236810
1	24116460	24117660	+	ENSG00000011009
1	24127071	24128271	-	ENSG00000117308
1	24194584	24195784	-	ENSG00000179163
1	24207745	24208945	+	ENSG00000238538
1	24208375	24209575	-	ENSG00000264347
1	24285349	24286549	-	ENSG00000188822
1	24284599	24285799	+	ENSG00000189266
1	24307217	24308417	-	ENSG00000188529
1	24438465	24439665	-	ENSG00000142661
1	24392264	24393464	+	ENSG00000230703
1	24469411	24470611	-	ENSG00000142677
1	24514249	24515449	-	ENSG00000185436
1	24644812	24646012	+	ENSG00000158055
1	24648191	24649391	-	ENSG00000232298
1	24743224	24744424	-	ENSG00000001460
1	24741284	24742484	+	ENSG00000001461
1	24828387	24829587	+	ENSG00000117602
1	24881602	24882802	+	ENSG00000184454
1	24882315	24883515	-	ENSG00000264443
1	24957207	24958407	+	ENSG00000133226
1	24993378	24994578	-	ENSG00000238986
1	25070848	25072048	+	ENSG00000169504
1	25104270	25105470	-	ENSG00000238482
1	25291412	25292612	-	ENSG00000020633
1	25286836	25288036	+	ENSG00000229162
1	25533630	25534830	+	ENSG00000231953
1	25558793	25559993	-	ENSG00000117614
1	25664504	25665704	-	ENSG00000117616
1	25573328	25574528	+	ENSG00000272432
1	25672668	25673868	-	ENSG00000238889
1	25756483	25757683	-	ENSG00000188672
1	25756388	25757588	+	ENSG00000204178
1	25869071	25870271	+	ENSG00000157978
1	25942959	25944159	+	ENSG00000117643
1	25985402	25986602	-	ENSG00000233478
1	26125667	26126867	+	ENSG00000162430
1	26144131	26145331	+	ENSG00000117640
1	26147088	26148288	-	ENSG00000223474
1	26146063	26147263	-	ENSG00000228172
1	26136961	26138161	+	ENSG00000255054
1	26185703	26186903	-	ENSG00000127423
1	26185104	26186304	+	ENSG00000236528
1	26197544	26198744	-	ENSG00000182749
1	26202987	26204187	+	ENSG00000207302
1	26233282	26234482	-	ENSG00000117632
1	26232745	26233945	-	ENSG00000264021
1	26289688	26290888	+	ENSG00000207237
1	26324448	26325648	-	ENSG00000158006
1	26331497	26332697	+	ENSG00000252190
1	26331707	26332907	+	ENSG00000252691
1	26345375	26346575	+	ENSG00000158008
1	26372424	26373624	-	ENSG00000158014
1	26394727	26395927	-	ENSG00000158022
1	26436664	26437864	+	ENSG00000175087
1	26484511	26485711	+	ENSG00000197245
1	26495362	26496562	+	ENSG00000142684
1	26498112	26499312	-	ENSG00000236782
1	26502894	26504094	+	ENSG00000142675
1	26516052	26517252	+	ENSG00000188782
1	26559691	26560891	+	ENSG00000130695
1	26604667	26605867	+	ENSG00000142669
1	26644654	26645854	-	ENSG00000158062
1	26643448	26644648	+	ENSG00000169442
1	26680421	26681621	-	ENSG00000176092
1	26700813	26702013	-	ENSG00000176083
1	26736269	26737469	+	ENSG00000131914
1	26757773	26758973	+	ENSG00000117682
1	26793573	26794773	-	ENSG00000225891
1	26797941	26799141	+	ENSG00000198830
1	26855252	26856452	+	ENSG00000117676
1	26880033	26881233	+	ENSG00000238705
1	27021524	27022724	+	ENSG00000117713
1	27020422	27021622	-	ENSG00000260063
1	27112963	27114163	+	ENSG00000060642
1	27152201	27153401	+	ENSG00000204160
1	27188633	27189833	+	ENSG00000175793
1	27201624	27202824	+	ENSG00000226698
1	27216588	27217788	-	ENSG00000142751
1	27226757	27227957	-	ENSG00000198746
1	27225729	27226929	+	ENSG00000090273
1	27240257	27241457	-	ENSG00000131910
1	27286697	27287897	-	ENSG00000175707
1	27339127	27340327	-	ENSG00000158246
1	27560007	27561207	+	ENSG00000142784
1	27560643	27561843	-	ENSG00000224311
1	27647651	27648851	+	ENSG00000186501
1	27650710	27651910	+	ENSG00000206888
1	27650820	27652020	+	ENSG00000241547
1	27667513	27668713	+	ENSG00000142765
1	27693183	27694383	-	ENSG00000142733
1	27701115	27702315	-	ENSG00000142748
1	27709670	27710870	-	ENSG00000174950
1	27718148	27719348	+	ENSG00000181773
1	27714972	27716172	+	ENSG00000231207
1	27816469	27817669	-	ENSG00000158195
1	27851316	27852516	+	ENSG00000237429
1	27930742	27931942	-	ENSG00000126705
1	27994979	27996179	+	ENSG00000225886
1	27998529	27999729	-	ENSG00000126709
1	28002020	28003220	-	ENSG00000206767
1	28051490	28052690	+	ENSG00000009780
1	28098694	28099894	+	ENSG00000117758
1	28156289	28157489	+	ENSG00000117751
1	28150049	28151249	+	ENSG00000223062
1	28159912	28161112	+	ENSG00000252947
1	28198055	28199255	+	ENSG00000130775
1	28241057	28242257	-	ENSG00000117748
1	28260504	28261704	+	ENSG00000130768
1	28284973	28286173	+	ENSG00000158156
1	28286504	28287704	-	ENSG00000227050
1	28415007	28416207	-	ENSG00000158161
1	28470528	28471728	-	ENSG00000252429
1	28469152	28470352	-	ENSG00000253005
1	28520247	28521447	-	ENSG00000169403
1	28526952	28528152	-	ENSG00000215902
1	28526070	28527270	+	ENSG00000269804
1	28559336	28560536	-	ENSG00000126698
1	28561620	28562820	+	ENSG00000130770
1	28585038	28586238	+	ENSG00000130766
1	28654513	28655713	+	ENSG00000130772
1	28695114	28696314	+	ENSG00000204138
1	28806874	28808074	+	ENSG00000221216
1	28831455	28832655	+	ENSG00000180198
1	28834071	28835271	+	ENSG00000200087
1	28853539	28854739	-	ENSG00000231468
1	28842988	28844188	+	ENSG00000238821
1	28831492	28832692	+	ENSG00000242125
1	28878597	28879797	+	ENSG00000180098
1	28905134	28906334	-	ENSG00000221539
1	28909295	28910495	-	ENSG00000197989
1	28917712	28918912	+	ENSG00000188060
1	28969397	28970597	-	ENSG00000120656
1	28968740	28969940	+	ENSG00000229388
1	28974112	28975312	+	ENSG00000270103
1	28994244	28995444	+	ENSG00000162419
1	29015177	29016377	+	ENSG00000252777
1	29062133	29063333	+	ENSG00000198492
1	29137654	29138854	+	ENSG00000116329
1	29203648	29204848	-	ENSG00000233427
1	29212603	29213803	+	ENSG00000159023
1	29450247	29451447	-	ENSG00000253304
1	29508299	29509499	-	ENSG00000116350
1	29478001	29479201	+	ENSG00000227637
1	29557254	29558454	-	ENSG00000116353
1	29549445	29550645	+	ENSG00000237934
1	29562028	29563228	+	ENSG00000060656
1	29579995	29581195	-	ENSG00000221550
1	30117325	30118525	-	ENSG00000221126
1	30356749	30357949	+	ENSG00000222787
1	31196234	31197434	-	ENSG00000162510
1	31190351	31191551	+	ENSG00000186056
1	31230467	31231667	-	ENSG00000162511
1	31330005	31331205	+	ENSG00000235143
1	31381408	31382608	-	ENSG00000162512
1	31538638	31539838	-	ENSG00000134644
1	31408420	31409620	-	ENSG00000200154
1	31421849	31423049	-	ENSG00000202107
1	31440883	31442083	-	ENSG00000200181
1	31712201	31713401	-	ENSG00000084628
1	31769462	31770662	-	ENSG00000060688
1	31768842	31770042	+	ENSG00000121766
1	31819446	31820646	-	ENSG00000229044
1	31849497	31850697	-	ENSG00000121769
1	31881412	31882612	+	ENSG00000168528
1	31970325	31971525	-	ENSG00000206981
1	31970841	31972041	+	ENSG00000228682
1	32041116	32042316	+	ENSG00000142910
1	32040974	32042174	-	ENSG00000229167
1	32082287	32083487	+	ENSG00000121764
1	32110297	32111497	-	ENSG00000162517
1	32108650	32109850	+	ENSG00000235790
1	32109295	32110495	+	ENSG00000264078
1	32169720	32170920	-	ENSG00000084636
1	32230294	32231494	-	ENSG00000121753
1	32253731	32254931	+	ENSG00000254545
1	32378174	32379374	+	ENSG00000212673
1	32410257	32411457	-	ENSG00000184007
1	32478430	32479630	+	ENSG00000121774
1	32536632	32537832	+	ENSG00000121775
1	32538875	32540075	-	ENSG00000203325
1	32572639	32573839	+	ENSG00000025800
1	32644287	32645487	+	ENSG00000084652
1	32664987	32666187	+	ENSG00000160050
1	32670236	32671436	+	ENSG00000160051
1	32672215	32673415	-	ENSG00000224066
1	32686529	32687729	+	ENSG00000084623
1	32687772	32688972	-	ENSG00000160055
1	32673695	32674895	+	ENSG00000222046
1	32711834	32713034	+	ENSG00000183615
1	32715840	32717040	+	ENSG00000182866
1	32756687	32757887	+	ENSG00000116478
1	32801780	32802980	-	ENSG00000175130
1	32816122	32817322	+	ENSG00000162526
1	32816064	32817264	-	ENSG00000233775
1	32829679	32830879	-	ENSG00000225828
1	32860132	32861332	-	ENSG00000160058
1	32929658	32930858	+	ENSG00000254553
1	32929670	32930870	+	ENSG00000273274
1	33004028	33005228	+	ENSG00000160062
1	33116304	33117504	-	ENSG00000176261
1	33115743	33116943	+	ENSG00000162521
1	33168997	33170197	-	ENSG00000162520
1	33190638	33191838	-	ENSG00000224409
1	33206486	33207686	+	ENSG00000162522
1	33281368	33282568	+	ENSG00000116497
1	33283554	33284754	-	ENSG00000134684
1	33337883	33339083	-	ENSG00000160097
1	33366839	33368039	-	ENSG00000121900
1	33350595	33351795	+	ENSG00000121905
1	33430086	33431286	-	ENSG00000116514
1	33546397	33547597	-	ENSG00000004455
1	33545705	33546905	+	ENSG00000142920
1	33647460	33648660	-	ENSG00000116525
1	33721146	33722346	+	ENSG00000160094
1	33786499	33787699	-	ENSG00000184389
1	33771967	33773167	+	ENSG00000225313
1	33896453	33897653	-	ENSG00000134686
1	33907512	33908712	-	ENSG00000221225
1	33937246	33938446	+	ENSG00000121903
1	33930850	33932050	+	ENSG00000234512
1	34325076	34326276	+	ENSG00000176256
1	34333554	34334754	+	ENSG00000231163
1	34631243	34632443	-	ENSG00000121904
1	34631484	34632684	+	ENSG00000142698
1	34641350	34642550	-	ENSG00000221053
1	35135095	35136295	-	ENSG00000207941
1	35219648	35220848	+	ENSG00000189280
1	35224342	35225542	+	ENSG00000189433
1	35244045	35245245	-	ENSG00000216162
1	35257599	35258799	+	ENSG00000187513
1	35245790	35246990	+	ENSG00000188910
1	35253498	35254698	-	ENSG00000255811
1	35315295	35316495	+	ENSG00000230163
1	35325217	35326417	-	ENSG00000163866
1	35394986	35396186	-	ENSG00000116544
1	35408357	35409557	+	ENSG00000252728
1	35450714	35451914	-	ENSG00000241014
1	35450754	35451954	-	ENSG00000243749
1	35497369	35498569	-	ENSG00000163867
1	35497142	35498342	-	ENSG00000271741
1	35524387	35525587	+	ENSG00000197056
1	35658549	35659749	-	ENSG00000116560
1	35660570	35661770	+	ENSG00000201868
1	35733568	35734768	+	ENSG00000146463
1	35774875	35776075	+	ENSG00000201542
1	35831478	35832678	-	ENSG00000227409
1	36022074	36023274	+	ENSG00000020129
1	36023351	36024551	-	ENSG00000142687
1	36037971	36039171	+	ENSG00000116819
1	36043130	36044330	-	ENSG00000239636
1	36107245	36108445	-	ENSG00000126067
1	36184873	36186073	-	ENSG00000142686
1	36203990	36205190	+	ENSG00000232335
1	36272773	36273973	+	ENSG00000134698
